"","enc","exp","para01d","pseu01d","pseu03d","pseu04d","para02d","para03d","para04d","pseu08d","para05d","pseu09d","cons03d","cons04d","cono","inte","bene01d","cona03d","risk03i","acce03d","trus03d","risk04i","acce04d","bene04d","trus04d","cona04d","sexo","edad","naci","regi","ciud","alim","edu1","edu2","ingr","nsep","alca","reli","frel","etni","opol","tru1","tru2","tru3","tru4","tru5","tru6","tru7","pref1r","pref2r","pref3r","pref4r","pref5r","pref6r","fuen1r","fuen2r","fuen3r","fuen4r","fuen5r","fuen6r","fuen7r","fuen8r","fuen9r","pseu02r","pseu05r","pseu06r","pseu07r","cons01r","cons02r","pref1rn","pref2rn","pref3rn","pref4rn","pref5rn","pref6rn","pref1rt","pref2rt","pref3rt","pref4rt","pref5rt","pref6rt","pref1ro","pref2ro","pref3ro","pref4ro","pref5ro","pref6ro","risk01r","cona01r","acce01r","risk02r","cona02r","trus01r","acce02r","trus02r","bene02r","bene03r"
"1",1,1,"2","3","4","1","2","1","3","1","3","1","4","3",3,4,"2","3","2","4","4","2","2","3","3","3",2,25,1,12,1,1,1,NA,3,4,4,12,1,NA,6,"1","1","2","2","4","3","5",2,3,4,2,4,2,0,1,0,0,0,0,1,0,0,"4","3","2","1","2","3",1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,"2","3","3","3","4","4","3","3","3","3"
"2",1,1,"2","3","3","5","3","2","4","1","3","3","2","3",2,3,"3","2","3","4","4","4","3","3","4","2",1,35,1,12,1,1,4,5,3,3,3,1,3,NA,6,"2","2","2","2","4","3","4",2,3,2,2,3,2,0,0,0,0,1,0,0,1,0,"2","1","2","2","3","2",1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,"2","2","2","2","2","3","1","4","3","3"
"3",1,1,"3","1","4","2","3","3","3","2","3","4","3","4",3,3,"3","2","2","4","4","3","2","3","4","2",2,29,1,12,1,1,3,5,2,3,3,14,3,NA,7,"1","1","3","3","3","2","3",4,2,4,2,3,4,0,0,0,1,0,0,0,1,0,"5","2","2","1","2","3",0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,"2","1","1","2","2","2","3","4","3","4"
"4",1,1,"2","3","3","2","2","3","3","2","3","4","3","2",2,2,"3","3","3","3","3","3","3","3","3","3",2,34,1,9,2,1,5,5,5,3,3,14,1,NA,7,"1","1","1","1","3","3","3",1,2,4,4,4,4,0,0,0,0,1,0,0,1,0,"2","2","2","2","3","2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,"3","3","3","3","3","3","3","3","3","3"
"5",1,1,"3","5","3","4","1","3","1","1","3","1","3","3",NA,4,"5","1","1","1","1","1","1","1","5","1",1,62,1,9,2,1,8,8,6,3,4,2,5,NA,6,"3","3","3","3","3","3","3",1,2,3,4,2,2,0,0,1,0,1,0,0,1,1,"2","5","5","1","1","2",0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,"1","1","1","1","1","1","3","5","1","1"
"6",1,1,"2","1","3","3","5","3","2","3","3","4","4","2",3,4,"2","1","2","1","4","3","1","1","2","1",2,74,1,9,2,1,5,NA,2,4,3,12,1,0,2,"3","3","3","3","4","4","4",3,2,2,1,2,3,0,1,1,0,1,0,0,1,0,"2","1","1","3","1","2",0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"2","1","1","3","1","1","2","2","3","3"
"7",1,1,"2","2","2","3","2","2","1","2","3","2","2","2",2,4,"3","2","2","2","3","2","2","3","4","2",1,36,1,12,1,1,5,5,10,4,4,2,4,NA,7,"4","2","3","4","4","4","3",2,2,3,2,2,3,0,0,1,0,0,0,1,1,0,"3","4","2","1","1","3",1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"2","2","2","2","2","2","2","4","2","3"
"8",1,1,"5","5","3","1","1","2","5","2","4","5","2","4",4,2,"2","3","3","2","3","3","4","3","4","3",2,40,1,9,2,4,6,6,5,5,2,1,4,0,7,"2","2","2","2","1","1","1",1,2,3,4,4,2,0,1,0,1,0,0,0,1,0,"3","4","5","2","1","2",0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,"3","3","2","2","3","3","2","1","4","3"
"9",1,1,"1","2","2","5","1","1","3","5","2","3","3","3",3,4,"2","1","4","1","5","1","5","5","1","5",2,37,1,9,2,1,6,NA,7,3,3,4,2,NA,2,"1","2","2","2","4","3","3",4,4,4,4,4,1,1,0,1,1,1,0,0,1,0,"5","5","3","5","1","1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,"1","1","1","1","3","1","2","5","1","1"
"10",1,1,"3","5","3","5","4","3","3","1","1","5","3","3",3,3,"5","3","5","4","3","1","2","3","4","2",1,34,1,9,2,4,4,5,2,2,2,2,2,1,4,"4","3","3","1","2","4","5",1,3,3,2,2,2,0,0,0,0,0,0,0,1,0,"3","2","2","1","5","3",0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,"1","1","1","1","3","2","1","1","3","3"
